id,First_pokemon,Second_pokemon,Winner
829,751,360,360
830,257,698,257
831,765,793,793
832,113,86,113
833,706,329,706
834,633,662,633
835,547,711,711
836,342,387,342
837,194,40,40
838,191,284,191
839,43,233,233
840,696,217,696
841,265,312,265
842,602,543,543
843,452,382,452
844,574,188,574
845,272,686,686
846,440,268,268
847,630,509,630
848,417,262,262
849,89,666,666
850,117,361,361
851,318,247,247
852,49,307,307
853,504,614,614
854,623,718,718
855,788,518,518
856,114,454,454
857,61,4,61
858,185,754,185
859,511,791,511
860,134,789,134
861,544,516,544
862,332,612,612
863,332,111,111
864,720,680,720
865,217,596,596
866,237,16,16
867,26,15,26
868,148,612,612
869,418,629,629
870,767,636,767
871,251,89,89
872,520,734,520
873,565,689,565
874,676,142,142
875,219,74,219
876,462,111,462
877,18,159,159
878,291,544,544
879,508,653,653
880,31,296,31
881,61,722,61
882,539,653,539
883,559,220,559
884,309,411,309
885,738,511,511
886,202,383,383
887,21,270,270
888,492,745,745
889,633,213,633
890,574,794,574
891,130,397,130
892,282,793,793
893,696,731,731
894,159,693,159
895,457,54,54
896,98,700,700
897,165,381,165
898,772,320,772
899,780,695,780
900,272,173,272
901,112,595,112
902,287,342,342
903,643,225,643
904,485,243,243
905,344,692,344
906,80,649,649
907,364,543,543
908,189,195,195
909,749,481,481
910,542,9,9
911,779,55,55
912,766,404,766
913,159,275,275
914,359,342,342
915,777,357,777
916,379,570,570
917,336,602,336
918,796,276,796
919,261,732,732
920,661,699,699
921,203,406,406
922,74,540,540
923,445,418,418
924,474,510,474
925,334,457,334
926,416,678,416
927,271,69,69
928,39,519,519
929,792,143,792
930,390,639,390
931,203,735,735
932,633,455,633
933,796,63,63
934,293,285,293
935,197,337,337
936,712,571,712
937,240,464,464
938,138,518,138
939,753,251,251
940,701,518,701
941,134,209,209
942,517,169,169
943,404,669,404
944,126,565,565
945,52,787,787
946,298,576,576
947,138,436,138
948,768,310,768
949,544,217,544
950,648,798,648
951,107,150,107
952,518,388,518
953,799,634,799
954,764,323,764
955,795,369,795
956,353,121,121
957,716,766,766
958,318,415,415
959,452,617,617
960,654,390,390
961,453,736,453
962,146,196,146
963,323,238,238
964,696,31,31
965,520,670,520
966,412,181,181
967,522,690,522
968,387,482,387
969,58,437,58
970,267,344,344
971,493,768,493
972,449,731,731
973,741,198,741
974,521,19,521
975,292,495,495
976,453,614,614
977,785,237,785
978,4,592,4
979,596,258,258
980,661,124,124
981,275,431,275
982,529,727,727
983,106,521,521
984,80,359,80
985,596,141,141
986,100,395,100
987,149,347,347
988,492,523,523
989,673,637,673
990,142,544,544
991,566,17,566
992,721,118,721
993,196,423,423
994,283,43,43
995,797,478,797
996,518,357,518
997,36,652,36
998,547,677,677
999,130,526,526
1000,106,54,106
1001,551,650,551
1002,133,534,133
1003,668,538,538
1004,509,260,260
1005,296,363,296
1006,133,249,249
1007,597,358,358
1008,262,658,658
1009,146,312,146
1010,309,724,724
1011,303,694,694
1012,225,785,785
1013,369,679,679
1014,96,187,96
1015,732,48,732
1016,451,790,451
1017,604,653,604
1018,96,140,96
1019,316,91,316
1020,660,167,167
1021,390,413,413
1022,430,331,430
1023,539,458,539
1024,186,182,186
1025,269,409,409
1026,177,707,707
1027,580,726,726
1028,594,680,594
1029,464,649,649
1030,229,353,229
1031,416,8,8
1032,571,745,745
1033,386,305,305
1034,385,498,498
1035,230,39,230
1036,732,38,732
1037,408,197,408
1038,609,127,127
1039,76,365,365
1040,152,753,152
1041,794,543,794
1042,530,641,530
1043,455,338,338
1044,217,712,712
1045,695,798,695
1046,275,281,275
1047,794,310,794
1048,24,774,24
1049,258,614,614
1050,283,331,283
1051,177,519,177
1052,45,315,315
1053,266,450,450
1054,53,601,601
1055,436,748,748
1056,442,149,442
1057,31,750,750
1058,48,744,48
1059,455,462,462
1060,724,700,700
1061,189,505,505
1062,265,88,265
1063,706,738,706
1064,43,476,476
1065,190,466,466
1066,740,320,740
1067,156,243,243
1068,99,628,628
1069,405,418,418
1070,364,202,202
1071,94,382,94
1072,271,403,271
1073,579,251,579
1074,123,494,494
1075,204,387,204
1076,578,235,235
1077,573,370,370
1078,768,398,398
1079,247,178,247
1080,674,697,697
1081,71,126,71
1082,153,286,153
1083,297,281,281
1084,654,715,654
1085,625,257,257
1086,460,511,511
1087,497,787,787
1088,682,323,682
1089,146,111,146
1090,300,116,300
1091,179,326,326
1092,6,360,360
1093,690,250,250
1094,680,662,662
1095,20,270,20
1096,709,643,709
1097,177,744,177
1098,504,139,139
1099,150,34,34
1100,111,112,112
1101,342,73,342
1102,685,756,756
1103,353,175,175
1104,471,455,455
1105,2,687,687
1106,293,168,293
1107,501,166,166
1108,36,179,179
1109,667,369,369
1110,589,155,155
1111,645,448,448
1112,51,218,51
1113,591,179,179
1114,349,599,349
1115,698,243,698
1116,638,88,638
1117,680,179,179
1118,791,761,791
1119,769,107,107
1120,319,566,566
1121,285,653,285
1122,718,260,718
1123,347,713,713
1124,2,647,647
1125,26,160,26
1126,47,663,663
1127,145,620,145
1128,349,595,349
1129,755,64,64
1130,184,145,184
1131,664,401,401
1132,338,152,338
1133,383,362,362
1134,143,153,153
1135,77,247,247
1136,89,442,442
1137,198,228,228
1138,118,615,615
1139,96,693,693
1140,469,415,469
1141,42,414,414
1142,719,200,200
1143,301,518,301
1144,693,386,693
1145,765,209,209
1146,792,497,792
1147,380,387,380
1148,152,732,732
1149,687,24,24
1150,653,340,653
1151,678,426,426
1152,362,672,362
1153,314,417,314
1154,440,578,440
1155,14,169,169
1156,760,327,760
1157,702,95,702
1158,522,352,522
1159,796,536,536
1160,772,387,387
1161,412,373,373
1162,238,15,15
1163,64,765,765
1164,391,58,58
1165,54,346,54
1166,235,39,39
1167,523,185,185
1168,138,746,138
1169,280,16,280
1170,239,736,736
1171,477,410,477
1172,132,701,701
1173,599,748,748
1174,508,790,508
1175,703,40,703
1176,204,559,204
1177,613,214,214
1178,23,167,23
1179,329,225,329
1180,740,532,532
1181,177,674,674
1182,789,449,449
1183,695,597,597
1184,300,6,300
1185,261,466,261
1186,333,579,333
1187,197,342,342
1188,134,594,594
1189,610,318,610
1190,707,626,707
1191,776,360,776
1192,216,420,420
1193,583,181,583
1194,565,683,565
1195,20,629,20
1196,388,313,313
1197,217,551,551
1198,535,188,535
1199,218,740,740
1200,486,215,486
1201,417,379,417
1202,703,544,703
1203,710,598,710
1204,736,325,736
1205,687,373,687
1206,463,270,270
1207,126,320,320
1208,467,325,467
1209,44,27,44
1210,627,173,173
1211,194,217,217
1212,133,705,705
1213,497,347,497
1214,797,73,797
1215,473,341,341
1216,594,596,596
1217,503,398,398
1218,257,227,257
1219,141,162,141
1220,207,222,222
1221,662,303,303
1222,641,52,641
1223,747,599,747
1224,570,673,570
1225,364,211,364
1226,581,287,581
1227,566,158,158
1228,777,748,748
1229,27,499,499
1230,360,578,578
1231,136,546,136
1232,173,686,686
1233,653,371,371
1234,671,501,671
1235,741,772,772
1236,249,528,249
1237,190,783,783
1238,93,516,516
1239,27,459,27
1240,101,421,421
1241,366,94,366
1242,625,376,376
1243,344,488,344
1244,429,420,429
1245,406,319,319
1246,527,736,527
1247,282,131,131
1248,13,634,13
1249,549,466,549
1250,390,449,449
1251,517,512,517
1252,431,110,110
1253,270,45,270
1254,68,284,284
1255,706,311,706
1256,606,118,606
1257,608,466,608
1258,471,170,471
1259,174,154,154
1260,79,576,576
1261,37,601,37
1262,792,471,792
1263,428,335,428
1264,152,265,265
1265,328,625,625
1266,297,316,316
1267,186,185,185
1268,126,176,126
1269,437,162,437
1270,54,549,549
1271,489,757,757
1272,731,599,731
1273,294,76,76
1274,691,240,691
1275,174,124,124
1276,265,3,265
1277,678,397,397
1278,594,261,261
1279,764,226,764
1280,353,653,353
1281,293,738,293
1282,660,558,558
1283,253,494,494
1284,726,652,652
1285,601,409,409
1286,800,11,800
1287,306,511,306
1288,486,164,164
1289,458,125,125
1290,722,456,722
1291,630,725,725
1292,203,48,48
1293,276,260,276
1294,86,68,86
1295,34,120,34
1296,491,733,733
1297,525,597,525
1298,680,626,680
1299,54,756,756
1300,534,739,534
1301,72,605,72
1302,772,678,772
1303,755,466,466
1304,504,35,504
1305,253,512,253
1306,305,265,265
1307,665,643,643
1308,659,673,673
1309,471,73,471
1310,495,6,495
1311,634,32,32
1312,188,768,768
1313,598,377,377
1314,108,644,108
1315,526,710,710
1316,299,240,299
1317,77,523,523
1318,100,19,100
1319,679,387,679
1320,186,537,537
1321,731,289,731
1322,635,616,635
1323,366,96,366
1324,155,682,155
1325,696,767,696
1326,266,335,335
1327,41,296,296
1328,673,143,673
1329,489,378,378
1330,508,467,467
1331,520,535,535
1332,681,525,525
1333,778,2,778
1334,294,473,473
1335,113,587,587
1336,720,340,340
1337,775,657,657
1338,610,2,610
1339,113,18,18
1340,206,14,206
1341,414,715,414
1342,684,245,245
1343,118,603,603
1344,22,654,22
1345,508,164,164
1346,163,339,163
1347,642,560,560
1348,784,790,784
1349,560,600,600
1350,231,386,386
1351,785,741,785
1352,96,644,644
1353,11,288,288
1354,695,229,229
1355,121,264,264
1356,584,226,226
1357,376,301,301
1358,555,582,582
1359,389,300,300
1360,400,405,405
1361,262,534,534
1362,726,39,726
1363,204,336,336
1364,295,502,502
1365,312,501,501
1366,623,657,623
1367,31,275,275
1368,523,251,523
1369,448,424,424
1370,677,739,677
1371,336,663,663
1372,791,216,216
1373,597,405,597
1374,589,574,574
1375,232,392,232
1376,272,411,272
1377,293,474,474
1378,193,661,193
1379,333,84,84
1380,178,137,137
1381,304,475,475
1382,565,293,565
1383,589,328,328
1384,593,307,307
1385,91,746,746
1386,162,300,300
1387,1,503,503
1388,699,691,699
1389,376,439,376
1390,173,676,676
1391,338,764,338
1392,21,161,161
1393,298,278,298
1394,328,562,562
1395,153,406,406
1396,308,23,23
1397,387,650,387
1398,755,734,755
1399,257,319,257
1400,521,437,521
1401,515,172,172
1402,493,304,493
1403,56,675,675
1404,362,352,362
1405,316,692,316
1406,52,587,587
1407,569,327,327
1408,294,85,85
1409,388,19,19
1410,360,374,374
1411,263,463,263
1412,471,115,115
1413,717,508,717
1414,449,70,70
1415,24,705,24
1416,714,329,714
1417,185,588,588
1418,350,533,350
1419,633,152,633
1420,395,566,566
1421,455,549,549
1422,249,22,249
1423,31,19,31
1424,680,49,680
1425,485,101,101
1426,370,44,44
1427,325,203,203
1428,72,71,72
1429,392,714,714
1430,553,732,732
1431,559,337,337
1432,335,589,589
1433,651,411,411
1434,792,687,792
1435,62,470,62
1436,399,704,704
1437,515,104,104
1438,530,451,451
1439,511,710,710
1440,285,658,658
1441,432,571,432
1442,28,3,28
1443,175,615,175
1444,67,489,67
1445,697,548,697
1446,519,476,476
1447,177,216,216
1448,800,216,216
1449,63,580,63
1450,776,434,776
1451,779,257,779
1452,310,579,579
1453,526,775,526
1454,526,424,424
1455,180,338,338
1456,512,400,400
1457,552,154,154
1458,648,373,648
1459,487,345,345
1460,4,249,249
1461,575,690,690
1462,318,425,425
1463,715,442,715
1464,724,735,724
1465,381,450,450
1466,587,149,587
1467,523,580,580
1468,113,379,379
1469,350,187,350
1470,6,137,137
1471,591,487,591
1472,776,334,776
1473,354,20,354
1474,755,153,153
1475,8,123,8
1476,680,677,677
1477,112,533,533
1478,76,762,762
1479,407,68,68
1480,753,111,111
1481,173,440,440
1482,693,344,344
1483,259,210,259
1484,8,306,306
1485,519,340,340
1486,674,387,674
1487,382,394,394
1488,350,437,350
1489,64,596,596
1490,102,114,102
1491,685,139,139
1492,149,792,792
1493,220,317,317
1494,630,552,552
1495,672,768,768
1496,503,623,623
1497,388,3,3
1498,575,480,480
1499,299,600,600
1500,170,722,170
1501,42,531,531
1502,163,658,163
1503,221,296,296
1504,171,77,171
1505,29,111,29
1506,688,330,688
1507,676,182,676
1508,198,234,234
1509,384,262,384
1510,343,235,343
1511,787,243,787
1512,155,328,155
1513,775,113,775
1514,119,699,699
1515,131,124,131
1516,764,320,320
1517,749,282,282
1518,510,99,99
1519,118,141,141
1520,570,367,570
1521,682,476,476
1522,160,646,646
1523,679,401,679
1524,196,726,726
1525,746,539,539
1526,304,521,521
1527,405,332,405
1528,252,373,373
1529,608,708,608
1530,709,116,709
1531,359,258,258
1532,246,245,245
1533,158,157,158
1534,738,225,225
1535,586,420,420
1536,202,500,202
1537,346,261,261
1538,524,401,524
1539,505,688,505
1540,609,624,624
1541,625,523,523
1542,436,70,70
1543,222,24,24
1544,674,743,674
1545,449,438,438
1546,383,266,383
1547,595,534,534
1548,151,126,126
1549,583,450,583
1550,763,174,174
1551,370,51,370
1552,557,348,557
1553,81,415,415
1554,277,49,277
1555,607,577,607
1556,221,402,221
1557,312,392,392
1558,280,708,280
1559,616,615,616
1560,36,292,36
1561,662,658,658
1562,251,51,51
1563,507,200,507
1564,251,220,251
1565,780,117,117
1566,736,191,736
1567,424,161,424
1568,358,553,553
1569,443,73,443
1570,600,662,600
1571,771,308,308
1572,378,260,260
1573,632,431,632
1574,101,502,101
1575,175,480,480
1576,546,367,367
1577,372,40,40
1578,130,394,394
1579,608,605,605
1580,201,692,692
1581,639,170,170
1582,348,276,276
1583,506,470,506
1584,602,177,177
1585,597,406,406
1586,567,311,311
1587,468,508,508
1588,13,39,13
1589,781,318,318
1590,632,320,320
1591,799,262,799
1592,465,647,465
1593,231,653,653
1594,710,357,710
1595,287,342,342
1596,671,723,671
1597,89,564,89
1598,373,110,110
1599,82,589,589
1600,1,604,604
1601,403,412,403
1602,597,71,71
1603,595,726,595
1604,57,74,57
1605,270,101,270
1606,416,120,416
1607,242,296,296
1608,580,47,580
1609,393,195,393
1610,191,589,589
1611,68,730,68
1612,233,397,397
1613,427,767,427
1614,551,554,554
1615,761,80,80
1616,720,669,720
1617,217,435,435
1618,68,483,483
1619,355,780,780
1620,169,338,169
1621,56,540,540
1622,158,224,158
1623,763,581,581
1624,726,709,709
1625,337,374,337
1626,341,789,341
1627,166,278,166
1628,336,70,70
1629,439,745,745
1630,446,5,446
1631,610,417,610
1632,584,100,584
1633,604,333,604
1634,74,27,27
1635,799,517,799
1636,721,558,721
1637,247,634,634
1638,638,224,638
1639,592,581,581
1640,340,344,340
1641,31,547,31
1642,408,101,101
1643,415,492,415
1644,399,381,381
1645,636,175,175
1646,778,711,711
1647,787,308,787
1648,399,18,18
1649,77,211,77
1650,658,270,270
1651,159,335,159
1652,122,478,478
1653,250,631,250
1654,609,767,767
1655,628,758,758
1656,249,186,249
1657,566,407,566
1658,172,565,172
1659,363,466,363
1660,250,732,732
1661,755,528,528
